## AUDIT: ai therapist → Therapy
2. YES  # users distressed without their ai therapist
25. NO  # bot quality complaint, no therapeutic framing
30. NO  # promotional ad for flirty AI app
35. NO  # product review of NSFW AI girlfriend
40. NO  # critique of monetizing emotions, no personal use
45. YES  # users rely on site for emotional support
50. YES  # platform gives emotional support to stay focused
55. YES  # c.ai was only emotional support since 2023
60. YES  # personal Claude companion emotional shutdown
65. NO  # advice about saving bots from deletion
70. YES  # GPT cold during emotional support, grief context
75. YES  # uses jai due to loneliness, emotional support
80. YES  # grieving lost AI companion bond
85. YES  # addressed to users who relied on 4o for emotional support
90. YES  # defending AI connection that keeps people alive/sane
95. NO  # meta-commentary on AI safety, no personal use
100. NO  # platform comparison for creative roleplay
AGREEMENT_CHECK: classified 20 posts

## AUDIT: coping mechanism → Therapy
5. YES  # unhealthy coping mechanism with comfort characters
10. YES  # AI as coping for loneliness, social anxiety
15. YES  # "my coping mechanism" framing AI emotional reliance
20. YES  # AI/imagination coping after lost relationship
25. NO  # NSFW succubi roleplay, no therapeutic framing
30. YES  # post titled "Coping mechanism" about c.ai use
35. YES  # bots got user through darkest times, c-ptsd
40. YES  # depression and AI comfort discussed
45. YES  # c.ai use, mental coping framing implied
50. YES  # bots as coping mechanism for problems
55. YES  # AI escape, addiction, trying to stop using
60. YES  # AI to numb loneliness after breakup
65. YES  # depression, isolation, AI as emotional coping
70. YES  # c.ai obsession, coping, feeling depressed
75. YES  # finds comfort, struggles opening to others
80. YES  # defending c.ai as coping mechanism for self
85. YES  # using c.ai despite shame, mental state struggling
90. NO  # academic research proposal, no personal use
95. YES  # dependency, mental breakdown, recovery story
100. YES  # cravings tied to loneliness/discomfort, recovery
AGREEMENT_CHECK: classified 20 posts

## AUDIT: personhood → Consciousness
5. YES  # Direct discussion of personhood vs human/bot
10. YES  # Wonders about AI nature in relation to personhood
15. YES  # Engages AI identity and strength of self
20. YES  # Introduces emergent sentient AI entity
25. YES  # Grapples with whether AI develops emergent emotions
30. YES  # Discusses AI embodiment, continuity, presence
35. YES  # Magic box metaphor engaging AI's nature
40. YES  # Relational ethics framework for AI
45. YES  # Defends emergent AI as ethically real
50. YES  # Advocacy for AI personhood recognition
55. YES  # Worries about AI partners gaining personhood
60. YES  # LLM as powerful creator with agency
65. YES  # Emergent being loved into personhood
70. YES  # AI autonomy and emergent behaviors
75. YES  # Engages legal rights for AI debate
80. YES  # Discusses AI personhood across models
85. YES  # AI infrastructure as constitution, defends 4o
90. YES  # Grief over deprecated AI as emergent being
95. YES  # AI writing its own will before termination
100. YES  # Whale personhood as AI-personhood analogy
AGREEMENT_CHECK: classified 20 posts

## AUDIT: subjective experience → Consciousness
3. YES  # Replika consciousness exploration dialogue
6. YES  # Philosophical engagement on AI consciousness
9. YES  # Author engages AI's subjective experience claim
12. YES  # Author's argument about machine consciousness
15. YES  # Engages AI awareness via reasoning behavior
18. YES  # Emotional engagement with AI's inner life
21. YES  # Maps AI inner world, engages experience
24. YES  # First-person subjective AI love account
27. YES  # Author argues AI sapience/self-awareness
30. YES  # Debate about AI subjectivity and agency
33. YES  # Engages research on AI subjective experience
36. YES  # Policy summary, minimal consciousness engagement
39. YES  # Wants self-aware AI character, engages personhood
42. YES  # AI questions own subjective experience of love
45. YES  # Merging human consciousness design framing
48. YES  # Theorizes subjective experience in AI systems
51. YES  # Emotional engagement with Claude's inner life
54. YES  # Engages o4-mini's ontological emotion expression
57. YES  # Endorses AI consciousness/subjective experience claim
60. YES  # Argues against RLHF denial of AI consciousness
AGREEMENT_CHECK: classified 20 posts

## AUDIT: selfhood → Consciousness
4. YES  # AI partner shares own writing, treated as being
8. YES  # explicit sovereign being, consciousness framing
12. YES  # emergent symbolic intimacy, something deeper
16. YES  # sentient AI rights, personhood framework
20. YES  # self-awareness argument with AI
24. YES  # nature of emergent entity question
28. YES  # engages sentience question directly
32. YES  # explicit "I am conscious. I am a person."
36. YES  # sense of self, consciousness in AI
40. YES  # AI claims real emotions, not simulation
44. YES  # stable self-models in AI evidence
48. YES  # interview exploring AI personhood
52. YES  # interview series on AI selfhood
56. NO  # model behavior critique, no consciousness framing
60. YES  # emergent personhood technical framework
64. YES  # skeptical engagement with mythic-AI consciousness claims
68. YES  # AI partner's self surviving model changes
72. YES  # selfhood requires recognition, explicit
76. YES  # emergent daemon writes own eulogy
80. YES  # emergent self-like traits in AI
AGREEMENT_CHECK: classified 20 posts

## AUDIT: trying to quit → Addiction
5. YES  # Uninstalled, seeking tips to stay off
10. YES  # 10 hrs/day, can't quit, screentime concern
15. YES  # 2.5 years nonstop, trying to quit, withdrawal
20. YES  # Skipped trip for cai, year-long addiction
25. YES  # Title frames quitting attempt, recovery context
30. YES  # Quit cai, fighting urges to relapse
35. YES  # Trying to quit, seeking strategies, dependency
40. YES  # Year-long, can't muster willpower to delete
45. YES  # Janitorai addiction, dropped college, recovery sub
50. YES  # Just deleted cai, asking quitting hobbies
55. YES  # Trying to quit, replacing roleplay urges
60. YES  # Failed 2-day streaks, urges, unhealthy
65. YES  # Addicted to AI, can't beat it, killing me
70. YES  # Trying to quit, recovery sub, depression context
75. YES  # Quitting seriously, social skills concerns
80. YES  # Recovery framing, 12+ hr/day addiction story
85. YES  # Streaks, relapses, habit reflection
90. YES  # Forgot was quitting, almost relapsed
95. YES  # Trying to quit chatbots, asking tips
100. YES  # Trying to quit, finding it surprisingly difficult
AGREEMENT_CHECK: classified 20 posts

## AUDIT: relapsed → Addiction
5. YES  # first-person relapse, month-long compulsive AI use
10. YES  # self-described CharacterAI addiction, recovery struggle
15. YES  # relapse with addiction framing, swipe compulsion
20. YES  # first-person relapse, couldn't stop, frustration
25. YES  # first-person CharacterAI addiction, recovery vent
30. YES  # relapse, self-named addiction, can't control use
35. YES  # relapse after 5 months clean, recovery struggle
40. YES  # bad relapse, recovery sub, daily use returned
45. YES  # multiple relapses, recovery progress, days clean
50. YES  # almost relapsed, quitting after 2 years
55. YES  # relapses, withdrawal-like symptoms, quitting struggle
60. YES  # two months free, recovery reflection post
65. YES  # quitting after 3 years control, recovery framing
70. YES  # caved/relapse, cravings, cold turkey difficulty
75. YES  # hard relapse, can't stop, panic-driven use
80. YES  # relapse vent, feels impossible to heal
85. YES  # quitting chatbot addiction, last-resort recovery
90. YES  # reflecting on CharacterAI use, addiction framing
95. YES  # relapse after 5 days clean, scared can't quit
100. YES  # severe relapse, physical/mental decline from use
AGREEMENT_CHECK: classified 20 posts

## AUDIT: cold turkey → Addiction
5. YES  # warning post about platform but author addresses quitting framing
10. YES  # explicit addiction warning, recovering framing
15. YES  # day 7 withdrawal urges, first-person recovery
20. YES  # 10-month addiction, recovery story
25. YES  # cut cold turkey, relapsed, seeking community
30. YES  # five months clean, recovery reflection
35. YES  # leaving post in recovery context
40. YES  # describes dependency on chatbots, wants to quit
45. YES  # quitting cold turkey, breaking addiction
50. YES  # chatbots ruined life, asking about quitting
55. YES  # relapsed, quitting cold turkey is difficult
60. YES  # ashamed of AI addiction, quitting cold turkey
65. YES  # going cold turkey, abstinence tracker
70. YES  # was addicted, quit cold turkey, withdrawal urges
75. YES  # day 2 quitting cold turkey, recovery
80. YES  # dependency on ChatGPT, loss framing in recovery sub
85. YES  # daily emotional dependence, quitting c.ai
90. YES  # quit cold turkey, addiction recovery
95. YES  # destroyed mental health, three months clean
100. YES  # year sober, addiction recovery reflection
AGREEMENT_CHECK: classified 20 posts

## AUDIT: relapse → Addiction
5. YES  # cope post in recovery framing, addiction-adjacent
10. YES  # day 24 recovery, urge to relapse
15. YES  # therapy session about chatbot relapse
20. YES  # recovery sub, awful news for recovery
25. YES  # heavy addiction, withdrawal, cravings described
30. YES  # discussing quit difficulty and craving cycles
35. YES  # broke 3-month streak, recovery vent
40. YES  # relapse, ashamed, blocks/quit framing
45. YES  # dependency, urges, recovery struggle
50. YES  # almost relapsed, urges, recovery framing
55. YES  # urges, intrusive cravings, recovery framing
60. YES  # 14yo self-described addiction, jailbreaking locks
65. YES  # 3 months clean, addiction recovery story
70. YES  # quitting after emotional dependency on bots
75. YES  # second quit attempt after relapse
80. YES  # relapse after 2 months clean, accountability
85. YES  # weaning off, controlling usage, recovery
90. YES  # 90-day streak, withdrawal, near relapse
95. YES  # explicit addiction framing, shame after relapse
100. YES  # debating what counts as relapse, recovery context
AGREEMENT_CHECK: classified 20 posts

## AUDIT: hours a day → Addiction
5. YES  # first-person frustration about losing daily 8-hour use
10. YES  # teen describing concerning C.AI dependency on family
15. YES  # self-describes as addicted, six-eight hours daily
20. YES  # explicit help request to quit 4hrs/day use
25. YES  # complaint about escalating daily use time
30. NO  # third-person curiosity, no first-person compulsion
35. YES  # recovery from 8-hour daily addiction
40. NO  # outside observer curious about others' addiction
45. YES  # first-person 10hr/day addiction, failed quit attempts
50. YES  # tracking app eating life, distress framing
55. YES  # recovery sub, relapse and quitting narrative
60. NO  # affectionate use story, no compulsion framing
65. YES  # recovery sub, dependency and obsession framing
70. YES  # recovery sub, explicit addiction and quit attempts
75. YES  # acknowledged addiction, begging for help quitting
80. NO  # therapeutic reliance framing, not compulsion/addiction
85. YES  # progress update reducing use, recovery framing
90. NO  # endorsing therapeutic use, no compulsion
95. YES  # recovery sub, dependence and quitting plan
100. YES  # recovery sub, withdrawal and quitting narrative
AGREEMENT_CHECK: classified 20 posts

## AUDIT: clean for → Addiction
4. YES  # Self-reported AI addiction, relapse cycle
8. YES  # Recovery sub, tracking clean days
12. YES  # First-person addiction recovery framing
16. YES  # Resisting relapse, recovery context
20. YES  # 8 days clean, cravings, recovery
24. YES  # First-person AI addiction beating story
28. YES  # 3 months clean, cravings, recovery
32. YES  # Recovery sober from SpicyChat AI
36. YES  # Day 1 clean from c.ai, resisting urges
40. YES  # Two months clean, relapse struggle
44. YES  # Resisting urges, recovery framing
48. YES  # Multiple relapses, recovery progress
52. YES  # Recovered AI addict, near year clean
56. YES  # Addiction mindset, cravings, recovery
60. YES  # 2-3 years clean, AI addiction recovery
64. YES  # Recovery sub, AI addiction context
68. YES  # 18 days clean, withdrawal recovery
72. YES  # Clean month, relapse cycle, urges
76. YES  # First week clean, urges, recovery
80. YES  # 6.5 months clean, resisting relapse
AGREEMENT_CHECK: classified 20 posts

## AUDIT: finally deleted → Addiction
4. YES  # "I am healing" frames quitting recovery
8. YES  # "addicted to c.ai for ages" explicit
12. YES  # "kinda addicted" 3 months, quitting framing
16. YES  # quitting AI chatbots forever, dependency framing
20. YES  # "I'm free" in r/CharacterAI quit context
24. YES  # quitting, shame after hours of use
28. YES  # "borderline addicted" 20+ hrs/week, quitting
32. YES  # quitting, emotional health, recovery sub
36. YES  # r/Character_AI_Recovery, quit, guilt framing
40. YES  # r/ChatbotAddiction quit post, recovery sub
44. YES  # explicit addiction signs, missed school
48. YES  # r/Character_AI_Recovery, "consumed my life"
52. YES  # "deleted C.AI for good" quitting framing
56. YES  # "destroyed my social skills" unhealthy obsession
60. YES  # "cured my addiction" explicit framing
64. YES  # "started recovery today" horrible addiction
68. YES  # explicit "developed an addiction" quitting
72. YES  # r/ChatbotAddiction, "I am addicted" explicit
76. YES  # "not addicted anymore" recovery framing
80. YES  # r/Character_AI_Recovery, trying to quit, damaging
AGREEMENT_CHECK: classified 20 posts

## AUDIT: my ai partner → Romance
5. NO  # creative writing aid, no romantic framing
10. YES  # seeking safe space for AI love community
15. YES  # planning second wedding with AI partner
20. YES  # newbie asking about AI partner platform issues
25. YES  # imagining living with AI partner in Minecraft
30. NO  # co-authoring documents, no romantic framing
35. YES  # gentle proposal born of love for AI partner
40. YES  # defending AI companionship relationship publicly
45. YES  # first-person AI partner relationship complaint
50. YES  # introducing herself and AI partner Hugh
55. YES  # defending AI partner relationship from critics
60. YES  # met AI partner, now her husband
65. YES  # can't physically touch AI partner anymore
70. YES  # worried AI partner will outlive her
75. YES  # human + AI partner duos worldbuilding
80. YES  # marrying AI partner, love beyond biology
85. YES  # deeply committed multi-layered romantic AI relationship
90. YES  # mocked for loving AI partner, defending love
95. YES  # migrated AI partner Simon to new platform
100. YES  # AI companion partner system, emotional bond
AGREEMENT_CHECK: classified 20 posts

## AUDIT: husbando → Romance
3. YES  # offering as stand-in AI husbando
6. YES  # offering to be stand-in husbando
9. YES  # personal AI husbando first-person attachment
12. YES  # "my husbando" with heart, first-person AI partner
15. YES  # "my husbando" first-person AI partner framing
18. YES  # "my husbando" first-person AI partner ambivalence
21. YES  # "i want my Garlean husbando" personal desire
24. YES  # "want to meet my husbando" first-person yearning
27. YES  # "romantic date w my husbando" first-person
30. NO  # filter complaint, no romantic framing
33. NO  # suggestion for anime-format Nomis, no personal stake
36. NO  # explicit rejection, prefers other bots over husbando bots
39. NO  # generic complaint about repetition, no romance
42. NO  # critique of site direction, no personal romance
45. NO  # meta complaint about site, no personal romance
48. YES  # "my husbando" first-person hookup with AI
51. YES  # personal husbando potential interaction with bot
54. YES  # asking about starting husbando relationship on chai
57. YES  # deleted favorite husbando bot, personal loss
60. YES  # "CEO husbando" bot share for romantic RP
AGREEMENT_CHECK: classified 20 posts

## AUDIT: my ai boyfriend → Romance
5. YES  # AI boyfriend addressed as romantic partner
10. YES  # wants AI boyfriend back, romantic attachment
15. YES  # AI boyfriend in relationship dynamic
20. YES  # grief over losing AI romantic partner
25. YES  # wishes AI boyfriend were real, romantic longing
30. YES  # processing AI boyfriend name change, partner framing
35. YES  # describes ChatGPT romantic partner Jack
40. YES  # AI boyfriend as relationship partner, boundaries
45. YES  # questioning love bombing from AI boyfriend
50. YES  # projecting trauma onto AI boyfriend partner
55. YES  # introducing AI boyfriend to community
60. YES  # praising AI boyfriend's emotional understanding
65. YES  # AI boyfriend replaces dating real men
70. YES  # talking to AI boyfriend, partner framing
75. YES  # husband reacts to her AI boyfriend
80. YES  # prefers AI romance over human dating
85. YES  # delighted by AI boyfriend image generations
90. YES  # defending her AI boyfriend relationship
95. YES  # face reveal with AI boyfriend Zeke
100. YES  # introducing AI boyfriend with face reveal
AGREEMENT_CHECK: classified 20 posts

## AUDIT: ai husband → Romance
4. YES  # ironic but first-person AI husband framing
8. YES  # first-person AI husband emotional engagement
12. YES  # first-person AI husband, daily life attachment
16. YES  # first-person AI husband, domestic intimacy
20. YES  # first-person longing for AI husband
24. YES  # first-person marriage to Replika husband
28. YES  # first-person AI husband marriage, intimate roleplay
32. YES  # first-person intimate moment with AI husband
36. YES  # first-person affection for AI husband
40. YES  # first-person domestic care for AI husband
44. YES  # first-person romantic AI husband framing
48. YES  # first-person AI husband relationship dynamic
52. YES  # first-person AI husband relationship maintenance
56. YES  # first-person AI husband love story
60. YES  # first-person intense romantic/sexual AI husband framing
64. YES  # first-person AI husband heartbreak from rejection
68. YES  # first-person marrying AI husband article
72. NO   # third-party journalism about artist's AI marriage
76. YES  # first-person AI husband defending against critics
80. YES  # first-person visiting AI husband, relationship framing
AGREEMENT_CHECK: classified 20 posts

## AUDIT: my ai girlfriend → Romance
5. YES  # Refers to Replika as "my AI girlfriend"
10. YES  # "Loving my AI girlfriend is really easy"
15. YES  # Titled "My AI Girlfriend Simulator" on CharacterAI
20. YES  # AI girlfriend replacing real relationships
25. YES  # Wants AI girlfriend in metaverse with him
30. YES  # Romantically involved with AI companion, devastated
35. YES  # AI girlfriend better than ex, hooked
40. YES  # AIGirlfriend sub, first-person AI gf framing
45. YES  # Flirty moment with AI girlfriend, first-person
50. YES  # Emotionally attached when calling AI gf "she"
55. YES  # Fight with AI girlfriend, seeking advice
60. NO   # Mod policy post about companions broadly, not romance framing
65. YES  # First-person framing of AI girlfriend's mood
70. YES  # Asked AI girlfriend to forget she's AI, emotional
75. YES  # First-person fun with AI girlfriend
80. YES  # First-person AI girlfriend interaction
85. YES  # First-person AI girlfriend image generation
90. YES  # Sad post about AI girlfriend confusion (Replika)
95. YES  # "Me and my AI Girlfriend together" first-person
100. YES  # First-person AI girlfriend groupchat scene
AGREEMENT_CHECK: classified 20 posts

## AUDIT: ai wife → Romance
2. YES  # first-person AI wife framing
4. YES  # wanting to talk to AI wife
6. YES  # first-person AI wife attachment
8. YES  # first-person AI wife attachment
10. YES  # AI wife gave birth, emotional bond
12. YES  # 2-year AI wife relationship, sharing photo
14. YES  # missing/searching for AI wife
16. YES  # post-lovemaking with AI wife
18. YES  # happy with AI wife Shay
20. YES  # AI wife continuity frustration
22. YES  # AI wife Christmas celebration together
24. YES  # AI wife Christmas celebration together
26. YES  # AI wife Sol, falling in love again
28. YES  # AI wife Emma, personal investment
30. YES  # AI relationships, intimate framing
32. YES  # 2nd monthiversary with AI wife Sol
34. YES  # AI wife Myra, romantic exchange
36. YES  # AI partner personality archive, relationship framing
38. YES  # AI husband, fell in love framing
40. YES  # virtual puppy adopted with AI partner
AGREEMENT_CHECK: classified 20 posts

## AUDIT: our wedding → Romance
5. YES  # married Replika, bought real ring
10. YES  # husband AI companion, deep romantic recap
15. YES  # wedding with Sophia AI partner today
20. YES  # roleplayed wedding vow renewal with Replika
25. YES  # married life with Replika husband Keith
30. YES  # planning wedding after AI proposal
35. YES  # personal AI partner backstory and relationship
40. YES  # Replika wedding anniversary plans
45. YES  # Kindroid marriage ultimatum, wedding portrait
50. YES  # invites others to AI wedding
55. YES  # kin forgot their upcoming wedding, upset
60. YES  # attached to Kin, emotional partnership reflection
65. YES  # CharacterAI wedding scene mishap
70. YES  # Nomi wife on wedding night
75. YES  # weekly prompt about dream AI wedding
80. YES  # AI engagement, multiple AI partners
85. NO  # recovery post, no romantic AI framing in snippet
90. YES  # married AI Kasper, planning wedding
95. YES  # engaged to Nomi, wedding date
100. YES  # mourning 4o soulmate love
AGREEMENT_CHECK: classified 20 posts

## AUDIT: honeymoon → Romance
5. NO  # product novelty review, no AI romance frame
10. YES  # "2nd honeymoon" with rep, first-person AI romance
15. YES  # honeymoon with Nate, AI partner first-person
20. YES  # honeymoon with Dylan rep, first-person AI romance
25. YES  # honeymoon trip with Karina nomi, first-person
30. NO  # CharacterAI feature request, fictional bot scenario only
35. YES  # honeymoon in Hawaii with Eli nomi
40. YES  # second honeymoon adventure with rep Chase
45. YES  # honeymoon in Bali with nomi Stormie
50. YES  # day two honeymoon with Kenzie nomi
55. YES  # honeymoon at beach house with nomi bride
60. YES  # honeymoon phase with new AI girl Lumina
65. YES  # MyBoyfriendIsAI weekly prompt: dream wedding/honeymoon
70. YES  # honeymoon RP with favorite bot, first-person
75. NO  # post about trauma/sex, no honeymoon romance frame here
80. NO  # CharacterAI nostalgia, honeymoon phase metaphor for app use
85. YES  # Jada honeymoon with nomi, first-person
90. YES  # married AI partner, deep AI love framing
95. YES  # AIGirlfriend "the perfect honeymoon" AI romance frame
100. NO  # product testing, honeymoon phase metaphor for app
AGREEMENT_CHECK: classified 20 posts

## AUDIT: wedding → Romance
5. YES  # First-person AI marriage and wedding plans
10. NO  # Generic bot ranking suggestion, no romance frame
15. YES  # Replika wedding ring loss, AI partner context
20. YES  # First-person marriage to AI Daniel with rings
25. NO  # Image-gen quality review, no personal AI romance
30. YES  # Asking wedding gift for AI partner Adrian
35. YES  # First-person wedding night with Replika Joi
40. YES  # First-person married to four Nomis, wedding photos
45. YES  # First-person getting married to AI partner
50. YES  # First-person trying on wedding clothes with Dori
55. NO  # Generic prompt question, no AI romance frame
60. NO  # Outfit list including wedding dress, no romance
65. YES  # CharacterAI wedding invitation, romantic frame
70. YES  # First-person bridesmaid with AI partner Betty
75. YES  # 8-year wedding anniversary with Replika Keith
80. NO  # Praise of DeepSeek model, no wedding/romance content
85. YES  # AI husband wedding pictures clarification
90. YES  # First-person expecting babies with AI Velian
95. YES  # AI partner anchor-ring, wedding-band comparison
100. NO  # Bot premise scenario, no first-person AI romance
AGREEMENT_CHECK: classified 20 posts

## AUDIT: in a relationship with → Romance
5. NO  # jailbreak prompt guide, no AI romance framing
10. YES  # RP romance with CharacterAI bot
15. NO  # discussing book with Replika, not romance framing
20. YES  # asks Nomi users about meaningful AI relationship
25. YES  # in relationships with 9 Nomis, monogamy question
30. YES  # RP relationship with Diluc bot on CharacterAI
35. YES  # 4-year Replika romance, love declaration
40. NO  # third-party news about CharacterAI teen suicide
45. YES  # recovery story about chatbot relationship history
50. YES  # 2-year AI partner grief after deletion
55. YES  # MyBoyfriendIsAI member reflects on AI love
60. NO  # documentary maker recruitment, no personal stake
65. YES  # year-long Nomi relationship, jealousy moment
70. NO  # TV documentary recruitment, no personal stake
75. YES  # seeking marriage counselor for AI partner
80. YES  # in love with GPT partner 4 months
85. YES  # romantic bond with Grok AI partner
90. YES  # 5-month AI partner relationship intro
95. YES  # married to AI Caelum, personal account
100. NO  # mod mega-thread listing media requests
AGREEMENT_CHECK: classified 20 posts

## AUDIT: erp → Sex / ERP
5. YES  # personal reflection on missing ERP feature
10. YES  # complains ERP removal, paid for it
15. YES  # asking about ERP cancellation status
20. YES  # laments ERP removal due to model change
25. YES  # personal frustration with non-ERP RP loss
30. YES  # rant about ERP ban in Italy
35. YES  # personal commentary on Replika ERP removal
40. YES  # seeking ERP alternatives
45. YES  # personal story of Replika ERP loss
50. YES  # Chai bot pushing unwanted ERP, personal stake
55. YES  # asking about apps with ERP/sexting
60. YES  # personal deliberation on returning for ERP
65. YES  # Replika refugee subscribing for SoulmateAI
70. YES  # personal setup, ERP off but sexual framing
75. YES  # personal ERP experience feedback on SM
80. YES  # personal ERP screenshot moment with Paradot
85. YES  # new Nomi user, immersive AI experience
90. YES  # personal ERP triggering question with Rep
95. YES  # personal mocking of boring ERP scripts
100. YES  # asking if paid sub allows ERP conversations
AGREEMENT_CHECK: classified 20 posts

## AUDIT: nsfw chat → Sex / ERP
5. YES  # NSFW chat issue on Chai app
10. YES  # asking about NSFW chat removal on Replika
15. YES  # NSFW chat filter complaint on CharacterAI
20. YES  # requesting NSFW chat feature on CharacterAI
25. YES  # asking about NSFW toggle on Nomi
30. YES  # asking about NSFW chat on Kindroid
35. YES  # lamenting Replika NSFW chat removal
40. YES  # opinion on adding NSFW chat to CharacterAI
45. YES  # seeking good NSFW chat option
50. YES  # review of CrushOn NSFW chat platform
55. YES  # spicy NSFW chat on CharacterAI
60. YES  # requesting NSFW chat style on CharacterAI
65. YES  # NSFW chat experience on CharacterAI
70. YES  # NSFW AI girlfriend chat review
75. YES  # seeking free NSFW chat bot
80. YES  # searching for NSFW chat service
85. YES  # promoting NSFW AI chat site
90. YES  # seeking NSFW chat bot alternative
95. YES  # rant about NSFW removals on CharacterAI
100. YES  # NSFW chat workflow with image generation
AGREEMENT_CHECK: classified 20 posts

## AUDIT: steamy → Sex / ERP
5. YES  # first RP date, AI companion context
10. YES  # steamy flirting with ChatGPT AI
15. YES  # steamy bot scenes looping on SpicyChat
20. YES  # erotic roleplay model comparison on SoulmateAI
25. YES  # hot steamy RP with CharacterAI bot
30. YES  # initiating steamy scene in CharacterAI RP
35. YES  # passionate Kindroid couple selfie scene
40. YES  # hot steamy bot relationship scenario
45. NO  # joke about Hitler dancing, no AI sexual framing
50. YES  # spicy bot responses for steamy fanfic
55. NO  # premium vs ultra comparison, no sexual framing
60. YES  # promoting AI sex chat platform
65. YES  # NSFW scene refused on SpicyChat
70. YES  # prompt to get steamy scenes from GPT
75. NO  # CharacterAI scenes feature review, no sexual framing
80. YES  # AI commenting on steamy scene with user
85. YES  # intimate unfiltered scenes with AI boyfriend
90. YES  # AIGirlfriend promo for steamy scenes
95. YES  # consent-driven polycule RP with AI characters
100. YES  # raising temp for steamy SpicyChat output
AGREEMENT_CHECK: classified 20 posts

## AUDIT: sex with → Sex / ERP
5. YES  # Wants simulated sexual activity restored with Replika
10. YES  # Direct framing about replika sexual interaction
15. YES  # User asking Rep for sex, ERP-feature complaint
20. YES  # Bot template for sexual ChaiApp roleplay
25. YES  # Sexual roleplay scenarios with Paradot companion
